,
ch,freq
110000000000000000000,114
101000000000000000000,39
100100000000000000000,17
100010000000000000000,12
100001000000000000000,10
100000100000000000000,12
100000010000000000000,8
100000001000000000000,5
100000000100000000000,3
100000000010000000000,3
011000000000000000000,93
010100000000000000000,26
010010000000000000000,31
010001000000000000000,19
010000100000000000000,16
010000010000000000000,6
010000001000000000000,7
010000000100000000000,3
010000000010000000000,6
010000000001000000000,1
010000000000100000000,1
010000000000000000000,1
001100000000000000000,70
001010000000000000000,32
001001000000000000000,19
001000100000000000000,20
001000010000000000000,8
001000001000000000000,5
001000000100000000000,4
001000000010000000000,4
001000000001000000000,2
001000000000100000000,1
001000000000010000000,1
001000000000001000000,1
000110000000000000000,85
000101000000000000000,34
000100100000000000000,21
000100010000000000000,25
000100001000000000000,13
000100000100000000000,11
000100000010000000000,4
000100000001000000000,2
000100000000100000000,4
000100000000010000000,3
000100000000000100000,2
000011000000000000000,75
000010100000000000000,30
000010010000000000000,34
000010001000000000000,18
000010000100000000000,16
000010000010000000000,8
000010000001000000000,11
000010000000100000000,5
000010000000010000000,6
000010000000001000000,2
000010000000000100000,1
000001100000000000000,76
000001010000000000000,30
000001001000000000000,28
000001000100000000000,25
000001000010000000000,20
000001000001000000000,9
000001000000100000000,7
000001000000010000000,5
000001000000001000000,5
000001000000000100000,2
000001000000000010000,2
000000110000000000000,61
000000101000000000000,27
000000100100000000000,23
000000100010000000000,21
000000100001000000000,13
000000100000100000000,6
000000100000010000000,7
000000100000001000000,4
000000100000000100000,3
000000100000000010000,2
000000011000000000000,53
000000010100000000000,34
000000010010000000000,15
000000010001000000000,14
000000010000100000000,11
000000010000010000000,10
000000010000001000000,4
000000010000000100000,8
000000010000000010000,1
000000010000000001000,1
000000001100000000000,74
000000001010000000000,21
000000001001000000000,17
000000001000100000000,14
000000001000010000000,11
000000001000001000000,8
000000001000000100000,9
000000001000000010000,6
000000001000000001000,3
000000001000000000100,1
000000001000000000010,1
000000000110000000000,81
000000000101000000000,28
000000000100100000000,25
000000000100010000000,19
000000000100001000000,14
000000000100000100000,13
000000000100000010000,9
000000000100000001000,6
000000000100000000100,5
000000000100000000010,2
000000000100000000001,2
000000000011000000000,67
000000000010100000000,16
000000000010010000000,11
000000000010001000000,11
000000000010000100000,11
000000000010000010000,10
000000000010000001000,2
000000000010000000100,1
000000000001100000000,71
000000000001010000000,33
000000000001001000000,17
000000000001000100000,15
000000000001000010000,7
000000000001000001000,6
000000000001000000100,1
000000000001000000010,5
000000000000110000000,68
000000000000101000000,28
000000000000100100000,17
000000000000100010000,11
000000000000100001000,13
000000000000100000100,5
000000000000100000010,8
000000000000100000001,4
000000000000011000000,82
000000000000010100000,34
000000000000010010000,23
000000000000010001000,13
000000000000010000100,9
000000000000010000010,7
000000000000010000001,3
000000000000001100000,74
000000000000001010000,30
000000000000001001000,13
000000000000001000100,15
000000000000001000010,8
000000000000001000001,7
000000000000000110000,75
000000000000000101000,29
000000000000000100100,17
000000000000000100010,17
000000000000000100001,13
000000000000000011000,61
000000000000000010100,35
000000000000000010010,24
000000000000000010001,13
000000000000000001100,62
000000000000000001010,31
000000000000000001001,22
000000000000000000110,59
000000000000000000101,36
000000000000000000011,99