ch,freq
110000000000000000000,52
101000000000000000000,15
100100000000000000000,10
100010000000000000000,2
100001000000000000000,8
100000100000000000000,5
100000010000000000000,3
100000001000000000000,1
100000000010000000000,1
011000000000000000000,74
010100000000000000000,30
010010000000000000000,14
010001000000000000000,18
010000100000000000000,7
010000010000000000000,12
010000001000000000000,2
010000000100000000000,1
010000000010000000000,3
010000000001000000000,1
010000000000100000000,1
001100000000000000000,78
001010000000000000000,29
001001000000000000000,20
001000100000000000000,11
001000010000000000000,4
001000001000000000000,4
001000000100000000000,2
001000000001000000000,2
001000000000100000000,1
001000000000001000000,1
000110000000000000000,67
000101000000000000000,22
000100100000000000000,12
000100010000000000000,4
000100001000000000000,7
000100000100000000000,4
000100000010000000000,2
000100000001000000000,2
000100000000100000000,1
000100000000010000000,4
000100000000001000000,1
000100000000000100000,2
000011000000000000000,101
000010100000000000000,30
000010010000000000000,10
000010001000000000000,8
000010000100000000000,8
000010000010000000000,6
000010000001000000000,3
000010000000100000000,6
000010000000010000000,1
000010000000001000000,1
000010000000000100000,1
000001100000000000000,81
000001010000000000000,27
000001001000000000000,10
000001000100000000000,11
000001000010000000000,10
000001000001000000000,4
000001000000100000000,1
000001000000010000000,3
000001000000001000000,1
000001000000000100000,3
000001000000000010000,1
000001000000000000010,1
000000110000000000000,58
000000101000000000000,15
000000100100000000000,8
000000100010000000000,5
000000100001000000000,4
000000100000100000000,4
000000100000010000000,3
000000100000001000000,2
000000100000000001000,1
000000100000000000100,1
000000011000000000000,55
000000010100000000000,19
000000010010000000000,11
000000010001000000000,10
000000010000100000000,6
000000010000010000000,6
000000010000001000000,5
000000010000000100000,3
000000010000000001000,1
000000010000000000100,1
000000001100000000000,67
000000001010000000000,21
000000001001000000000,14
000000001000100000000,6
000000001000010000000,7
000000001000001000000,6
000000001000000100000,1
000000001000000001000,2
000000001000000000100,2
000000001000000000001,1
000000000110000000000,54
000000000101000000000,26
000000000100100000000,6
000000000100010000000,8
000000000100001000000,2
000000000100000100000,4
000000000100000010000,2
000000000100000001000,1
000000000100000000010,1
000000000100000000001,1
000000000011000000000,42
000000000010100000000,17
000000000010010000000,5
000000000010001000000,9
000000000010000100000,3
000000000010000010000,1
000000000010000001000,1
000000000010000000100,3
000000000001100000000,57
000000000001010000000,12
000000000001001000000,8
000000000001000100000,4
000000000001000010000,2
000000000001000001000,5
000000000001000000001,1
000000000000110000000,58
000000000000101000000,15
000000000000100100000,10
000000000000100010000,5
000000000000100001000,8
000000000000100000100,2
000000000000100000010,3
000000000000100000001,2
000000000000011000000,64
000000000000010100000,13
000000000000010010000,7
000000000000010001000,7
000000000000010000100,4
000000000000010000010,3
000000000000010000001,1
000000000000001100000,60
000000000000001010000,21
000000000000001001000,8
000000000000001000100,10
000000000000001000010,9
000000000000001000001,1
000000000000000110000,62
000000000000000101000,15
000000000000000100100,11
000000000000000100010,4
000000000000000100001,9
000000000000000011000,54
000000000000000010100,15
000000000000000010010,8
000000000000000010001,9
000000000000000001100,57
000000000000000001010,18
000000000000000001001,8
000000000000000000110,41
000000000000000000101,14
000000000000000000011,70
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,